table_id,category,namespace_role,namespace,scope,main_text_status,path,format,notes,report_scope,paper_section
TAB_CTX_OXIDE_SUMMARY_JSON,dataset_context,shared_context,data_shared,oxide_family_counts,methods_support,data_shared/oxide/summaries/summary.json,json,Frozen oxide counts and split provenance.,oxide,methods
TAB_CTX_NITRIDE_SUMMARY_JSON,dataset_context,shared_context,data_shared,nitride_family_counts,methods_support,data_shared/nitride/summaries/summary.json,json,Frozen nitride counts and split provenance.,nitride,methods
TAB_ZS_SUMMARY,zero_shot_evaluation,canonical_baseline,Results_Before_Correction,oxide_plus_nitride_zero_shot,main_text_candidate,reports/zero_shot/zero_shot_summary.csv,csv,Canonical zero-shot MAE summary table. Oxide 0.03418 and nitride 0.06955 eV/atom.,shared,results_comparison
TAB_ZS_OXIDE_PREDICTIONS,zero_shot_evaluation,canonical_baseline,Results_Before_Correction,oxide_per_structure_predictions,appendix_support,Results_Before_Correction/oxide/zero_shot/predictions.csv,csv,Per-structure oxide zero-shot predictions.,oxide,appendix
TAB_ZS_NITRIDE_PREDICTIONS,zero_shot_evaluation,canonical_baseline,Results_Before_Correction,nitride_per_structure_predictions,appendix_support,Results_Before_Correction/nitride/zero_shot/predictions.csv,csv,Per-structure nitride zero-shot predictions.,nitride,appendix
TAB_S1_FT_RUNS,fine_tuning,main_results,Results_Hyperparameter_Set_1,all_canonical_finetune_runs,appendix_support,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_runs.csv,csv,Sixty canonical fine-tuning runs with per-run details.,shared,appendix
TAB_S1_FT_SUMMARY_BY_N,fine_tuning,main_results,Results_Hyperparameter_Set_1,canonical_finetune_summary_by_N,main_text_candidate,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,csv,Canonical fine-tuning summary table. Primary quantitative anchor for fine-tuning claims.,shared,results_comparison
TAB_S1_FT_WIDE,fine_tuning,main_results,Results_Hyperparameter_Set_1,canonical_finetune_wide_summary,appendix_support,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_wide.csv,csv,Wide-format canonical fine-tuning table for cross-N comparisons.,shared,appendix
TAB_S1_FS_RUNS,from_scratch,main_results,Results_Hyperparameter_Set_1,all_canonical_fromscratch_runs,appendix_support,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_runs.csv,csv,Twenty canonical from-scratch runs with per-run details.,shared,appendix
TAB_S1_FS_SUMMARY,from_scratch,main_results,Results_Hyperparameter_Set_1,canonical_fromscratch_summary,main_text_candidate,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,csv,Canonical from-scratch summary table. Primary anchor for pretraining-value claims.,shared,results_comparison
TAB_S2_FT_RUNS,fine_tuning,robustness_comparison,Results_Hyperparameter_Set_2,all_set2_finetune_runs,appendix_support,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_runs.csv,csv,Sixty Set 2 fine-tuning runs. Robustness only.,shared,appendix
TAB_S2_FT_SUMMARY_BY_N,fine_tuning,robustness_comparison,Results_Hyperparameter_Set_2,set2_finetune_summary_by_N,robustness_only,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_by_N.csv,csv,Set 2 robustness summary table.,shared,appendix
TAB_S2_FS_RUNS,from_scratch,robustness_comparison,Results_Hyperparameter_Set_2,all_set2_fromscratch_runs,appendix_support,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_runs.csv,csv,Twenty Set 2 from-scratch runs. Robustness only.,shared,appendix
TAB_S2_FS_SUMMARY,from_scratch,robustness_comparison,Results_Hyperparameter_Set_2,set2_fromscratch_summary,robustness_only,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_summary.csv,csv,Set 2 robustness from-scratch summary.,shared,appendix
TAB_S3_FT_RUNS,fine_tuning,robustness_comparison,Results_Hyperparameter_Set_3,all_set3_finetune_runs,appendix_support,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_runs.csv,csv,Sixty Set 3 fine-tuning runs. Robustness only.,shared,appendix
TAB_S3_FT_SUMMARY_BY_N,fine_tuning,robustness_comparison,Results_Hyperparameter_Set_3,set3_finetune_summary_by_N,robustness_only,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_by_N.csv,csv,Set 3 robustness summary table.,shared,appendix
TAB_S3_FS_RUNS,from_scratch,robustness_comparison,Results_Hyperparameter_Set_3,all_set3_fromscratch_runs,appendix_support,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_runs.csv,csv,Twenty Set 3 from-scratch runs. Robustness only.,shared,appendix
TAB_S3_FS_SUMMARY,from_scratch,robustness_comparison,Results_Hyperparameter_Set_3,set3_fromscratch_summary,robustness_only,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_summary.csv,csv,Set 3 robustness from-scratch summary.,shared,appendix
TAB_EA_SUBSET_COUNTS,embedding_analysis,main_results,reports/week4_embedding_analysis,embedding_subset_counts,methods_support,reports/week4_embedding_analysis/subset_counts.csv,csv,Counts for fixed-test balanced pool and oxide-reference subsets. Methods-level provenance; not a paper table.,shared,methods
TAB_EA_FAMILY_SEPARATION,embedding_analysis,main_results,reports/week4_embedding_analysis,raw_space_family_separation_metrics,main_text_candidate,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,csv,Primary family-separation table. Silhouette score kNN purity and logistic AUC for each embedding layer.,combined,results_embedding
TAB_EA_DISTANCE_ERROR_STATS,embedding_analysis,main_results,reports/week4_embedding_analysis,raw_space_distance_error_statistics,main_text_candidate,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,csv,Primary domain-shift hypothesis table. Spearman correlation between 5NN oxide distance and nitride error.,combined,results_embedding
TAB_EA_DISTANCE_BY_STRUCTURE,embedding_analysis,main_results,reports/week4_embedding_analysis,nitride_distance_error_by_structure,appendix_support,reports/week4_embedding_analysis/tables/nitride_distance_error_by_structure.csv,csv,Per-structure nitride distance-error detail table.,combined,appendix
TAB_EA_PCA_EXPLAINED,embedding_analysis,main_results,reports/week4_embedding_analysis,pca_explained_variance,appendix_support,reports/week4_embedding_analysis/tables/pca_explained_variance.csv,csv,Auxiliary PCA explained-variance table.,combined,appendix
TAB_EA_ELEMENT_CORR,embedding_analysis,main_results,reports/week4_embedding_analysis,element_embedding_property_correlations,appendix_support,reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,csv,Optional element-embedding appendix table.,combined,appendix
TAB_METHODS_DATASET_SPLITS,methods_tables,phase6_closure,reports/final_paper_factory/03_section_inputs,family_dataset_split_counts,main_text_candidate,reports/final_paper_factory/03_section_inputs/TAB_METHODS_DATASET_SPLITS_v1.md,md+csv,Manuscript-facing methods table. Family totals train/val/test/pool counts oxynitride treatment and split provenance. Also available as TAB_METHODS_DATASET_SPLITS_v1.csv.,shared,methods
TAB_METHODS_EXPERIMENT_SCOPE,methods_tables,phase6_closure,reports/final_paper_factory/03_section_inputs,experiment_protocol_run_counts,main_text_candidate,reports/final_paper_factory/03_section_inputs/TAB_METHODS_EXPERIMENT_SCOPE_v1.md,md+csv,Manuscript-facing methods table. Protocol family N-value seed and run-count coverage. Explicit note that from-scratch exists only at N=50 and N=500. Also available as TAB_METHODS_EXPERIMENT_SCOPE_v1.csv.,shared,methods
