family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,mean_best_epoch,mean_final_batch_size,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,5,5,5,242,0.07035951829430732,0.00019340559318218648,0.020180577635765078,0.010658520460128783,1.0,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0008175033314587882
nitride,50,5,45,5,242,0.07022260650222704,0.0005823110638612189,0.012492461183832751,0.008489163592457771,1.4,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0006805915393785084
nitride,100,5,90,10,242,0.07076136445364922,0.0002981340891833379,0.012349417170302735,0.016465861350297928,1.0,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0012193494908006863
nitride,200,5,180,20,242,0.07126891280963155,0.000402871873316629,0.014081601780037293,0.016029460821300745,1.0,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0017268978467830098
nitride,500,5,450,50,242,0.07574289569646613,0.001069569997811352,0.02169138730921097,0.025274283066391946,47.2,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.006200880733617589
nitride,1000,5,900,100,242,0.07461072680471112,0.0008464328681799047,0.014639285835256385,0.02320347148925066,92.4,64.0,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.005068711841862583
oxide,10,5,5,5,1484,0.03676518652681638,0.003181629790347541,0.01302655003964901,0.017373678926378488,5.2,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0025815797186854172
oxide,50,5,45,5,1484,0.036334361320686584,0.0014211143342610728,0.013582955027619997,0.015628535859286787,7.8,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0021507545125556207
oxide,100,5,90,10,1484,0.038016304249010445,0.001999493066644124,0.010899444717086024,0.014121060259640217,37.2,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0038326974408794817
oxide,200,5,180,20,1484,0.036672319734696236,0.000945837802411358,0.007692813378784598,0.011778949853032827,50.2,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.002488712926565273
oxide,500,5,450,50,1484,0.03618090440305151,0.00036812207029371396,0.00973534673685208,0.011739169433712959,26.2,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0019972975949205454
oxide,1000,5,900,100,1484,0.035486562401803104,0.00013882604156590088,0.008205475397123439,0.012762349471449852,28.4,64.0,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0013029555936721407
