family,N,seed_0,seed_1,seed_2
nitride,10,0.11757167344835918,0.08263066216287288,0.09605327487946295
nitride,50,0.16176314320230534,0.160063459753436,0.1226664535039343
nitride,100,0.255990722909385,0.288266327455332,0.1683604518906021
nitride,200,0.14083734549551216,0.2507670267969986,0.134121102912059
nitride,500,0.11103363031105808,0.11399038155247604,0.10659293236965237
nitride,1000,0.09962329966562593,0.09825397432927997,0.10332520011319848
oxide,10,0.061017215491185904,0.04149125672633963,0.03604465207750871
oxide,50,0.07005073417921368,0.06448534763725022,0.05068732930470956
oxide,100,0.05257886434410074,0.05444544710509474,0.05113948807179943
oxide,200,0.05364166763080836,0.053726968007642935,0.04785101492107893
oxide,500,0.04710622004661935,0.048688744135656596,0.04664558848611523
oxide,1000,0.04637412279150813,0.04565289398800265,0.0446569330504257
